INPUT_BUTTON,TIME_STAMP,SNAKE_X,SNAKE_Y
S,2.8444420171872563e-07,160,0
D,0.33309639131330165,160,100
S,0.6653869522031342,260,100
D,1.0004425951778744,260,200
W,1.3977175628365686,380,200
D,1.6630513808628216,380,120
S,1.86221864201787,440,120
A,2.1278989130818164,440,200
W,2.327680573712577,380,200
D,2.5950163100305264,380,120
S,2.7277971389464413,420,120
A,2.9952088218662496,420,200
W,3.1958756728527593,360,200
D,3.393695237380064,360,140
S,3.528205487042429,400,140
A,3.793221580895362,400,220
W,3.992564059678669,340,220
D,4.126007359140387,340,180
W,4.659696361503549,500,180
A,5.058861745326866,500,60
S,5.257817095551634,440,60
D,5.457293831998152,440,120
W,5.6584965758607,500,120
A,5.793516833976746,500,80
